dataset_key,dataset_scope,dataset_status,dev_loss_proxy_mean,length_js_vs_dev,length_js_vs_raw,method,retention_rate,run_status,selected_documents,token_js_vs_dev,token_js_vs_raw
wikitext2_paper,official_split,real_local_nonfallback,10.766688074739669,0.10314665347130145,0.035022580428528925,hdqspp,0.6009538950715422,lightweight_dev,378,0.10004832604798003,0.03688204371167023
wikitext2_paper,official_split,real_local_nonfallback,10.578002299466005,0.036427089414024005,0.0036004993118760975,hdqspp_v2,0.8505564387917329,lightweight_dev,535,0.08540548691708735,0.010112005054593302
wikitext2_paper,official_split,real_local_nonfallback,10.581930754857314,0.04013745961827694,0.0012186626260257847,v2_without_length_prior,0.8505564387917329,lightweight_dev,535,0.08532716362920689,0.010227922587346653
wikitext2_paper,official_split,real_local_nonfallback,10.598472905273093,0.042182737849184686,0.004308262912625946,v2_without_distribution_preservation,0.8505564387917329,lightweight_dev,535,0.08681499456168656,0.015455367192708788
wikitext2_paper,official_split,real_local_nonfallback,10.803241915870945,0.04203203517440054,7.92963124208799e-05,v2_without_token_frequency_preservation,0.8505564387917329,lightweight_dev,535,0.09093056628207735,0.0111235961262174
wikitext2_paper,official_split,real_local_nonfallback,10.55495702139735,0.034490854236445115,0.005684653448992587,v2_without_repetition_penalty,0.8505564387917329,lightweight_dev,535,0.08435073393513304,0.010891800260920825
wikitext2_paper,official_split,real_local_nonfallback,10.430823549198642,0.07159341216094015,0.027671339543953184,v2_hard_filtering,0.6009538950715422,lightweight_dev,378,0.09125002963459501,0.03670043682923345
wikitext2_paper,official_split,real_local_nonfallback,10.63641155023788,0.03615567973961259,0.0023511652689168516,v2_soft_weighting_curriculum,0.9014308426073132,lightweight_dev,567,0.08604235761846424,0.007583730652469457
wikitext2_paper,official_split,real_local_nonfallback,10.696206527166762,0.038569800743312295,0.001187947805484319,random_same_keep_rate,0.5993640699523053,lightweight_dev,377,0.09039897215549833,0.017666944864958154
wikitext2_paper,official_split,real_local_nonfallback,10.720210605165875,0.038315752374318585,0.00042641990217054534,dedup_only,0.9920508744038156,lightweight_dev,624,0.08585958182091075,3.0974148837916746e-08
