run_id,timestamp_utc,command,config_path,config_hash,dataset_key,dataset_status,dataset_scope,model_size,model_config_path,model_config_hash,baseline_name,seed,train_steps,train_tokens,validation_tokens,run_status,failure_reason,artifact_path,artifact_hash,environment_fingerprint_hash,dataset_manifest_path,metrics_path,final_val_loss,final_val_perplexity,retention_rate,tokenizer_type,tokenizer_id,tokenizer_hash,vocab_size,parameter_count,evaluated_validation_tokens,eval_batches,eval_batch_size,eval_block_size,eval_token_budget,eval_coverage_ratio,final_train_loss,final_validation_loss,perplexity_or_proxy_perplexity,model_quality_metric,privacy_metric,dedup_metric,keep_rate
train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T12:02:26+00:00,2026-06-04T12:02:28+00:00,python scripts/run_experiment.py --config configs/experiments/dev.yaml --model configs/models/small.yaml --methods raw random_same_keep_rate length_filter dedup_only HDQS++ HDQS++v2 --seeds 1 2 3,configs/experiments/dev.yaml,5277a66db89c83cee8d79aaaf737955d36a02c2e78649b84a29858ffbf7ea11c,wikitext2_paper,real_local_nonfallback,official_split,small,configs/models/small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,raw,3,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/raw/seed_3/metrics.json,f1bc38774589c5badbe50557a20dc4c6a0a4bb453f75be048d408575c7d0ca53,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/raw/seed_3/metrics.json,2.628513134442843,13.853156799768039,1.0,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.719298216012808,2.628513134442843,13.853156799768039,final_val_perplexity,,,1.0
train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T12:03:00+00:00,2026-06-04T12:03:01+00:00,python scripts/run_experiment.py --config configs/experiments/dev.yaml --model configs/models/small.yaml --methods raw random_same_keep_rate length_filter dedup_only HDQS++ HDQS++v2 --seeds 1 2 3,configs/experiments/dev.yaml,5277a66db89c83cee8d79aaaf737955d36a02c2e78649b84a29858ffbf7ea11c,wikitext2_paper,real_local_nonfallback,official_split,small,configs/models/small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,random_same_keep_rate,3,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/random_same_keep_rate/seed_3/metrics.json,9109efa6913cc18aff8ebc856e0bec100e839a82e0a6ee743674070ebe1380d1,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/random_same_keep_rate/seed_3/metrics.json,2.53554813678448,12.62334827354805,0.5993640699523053,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.606421635701106,2.53554813678448,12.62334827354805,final_val_perplexity,,,0.5993640699523053
train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T12:03:35+00:00,2026-06-04T12:03:36+00:00,python scripts/run_experiment.py --config configs/experiments/dev.yaml --model configs/models/small.yaml --methods raw random_same_keep_rate length_filter dedup_only HDQS++ HDQS++v2 --seeds 1 2 3,configs/experiments/dev.yaml,5277a66db89c83cee8d79aaaf737955d36a02c2e78649b84a29858ffbf7ea11c,wikitext2_paper,real_local_nonfallback,official_split,small,configs/models/small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,length_filter,3,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/length_filter/seed_3/metrics.json,c5267ad24a404070b7f144708472ab32c948d7981d9fd1f6ea1f8985829c8d32,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/length_filter/seed_3/metrics.json,2.8696057613079367,17.63006637527947,0.5993640699523053,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.958804955849281,2.8696057613079367,17.63006637527947,final_val_perplexity,,,0.5993640699523053
train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T12:04:10+00:00,2026-06-04T12:04:12+00:00,python scripts/run_experiment.py --config configs/experiments/dev.yaml --model configs/models/small.yaml --methods raw random_same_keep_rate length_filter dedup_only HDQS++ HDQS++v2 --seeds 1 2 3,configs/experiments/dev.yaml,5277a66db89c83cee8d79aaaf737955d36a02c2e78649b84a29858ffbf7ea11c,wikitext2_paper,real_local_nonfallback,official_split,small,configs/models/small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,dedup_only,3,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/dedup_only/seed_3/metrics.json,1375241700a419dae3163e3cb443d71f64eb02ca6f6ebdd67bebf3c02b00e89b,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/dedup_only/seed_3/metrics.json,2.521443880521334,12.446555033958242,0.9920508744038156,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.598847224162175,2.521443880521334,12.446555033958242,final_val_perplexity,,,0.9920508744038156
train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T12:05:01+00:00,2026-06-04T12:05:02+00:00,python scripts/run_experiment.py --config configs/experiments/dev.yaml --model configs/models/small.yaml --methods raw random_same_keep_rate length_filter dedup_only HDQS++ HDQS++v2 --seeds 1 2 3,configs/experiments/dev.yaml,5277a66db89c83cee8d79aaaf737955d36a02c2e78649b84a29858ffbf7ea11c,wikitext2_paper,real_local_nonfallback,official_split,small,configs/models/small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,hdqspp,3,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/hdqspp/seed_3/metrics.json,93b9efb98e365a9210423a77058da86a429e531a0bc560e8fc86436118bf601c,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/hdqspp/seed_3/metrics.json,2.6267904868492713,13.829313235469222,0.6009538950715422,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.701609097994291,2.6267904868492713,13.829313235469222,final_val_perplexity,,,0.6009538950715422
train:wikitext2_paper:small:hdqspp_v2:1:completed_training:2026-06-04T11:58:11+00:00,2026-06-04T11:58:12+00:00,python scripts/run_experiment.py --config configs/experiments/dev.yaml --model configs/models/small.yaml --methods raw random_same_keep_rate length_filter dedup_only HDQS++ HDQS++v2 --seeds 1 2 3,configs/experiments/dev.yaml,5277a66db89c83cee8d79aaaf737955d36a02c2e78649b84a29858ffbf7ea11c,wikitext2_paper,real_local_nonfallback,official_split,small,configs/models/small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,hdqspp_v2,1,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2/seed_1/metrics.json,e491d0a17ce5877b4963b151e89f53b00c80b0f821ec5c267b0bb54f77d63706,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2/seed_1/metrics.json,2.8150479243351865,16.693975808853,0.8505564387917329,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.8915467812464786,2.8150479243351865,16.693975808853,final_val_perplexity,,,0.8505564387917329
train:wikitext2_paper:small:hdqspp_v2:2:completed_training:2026-06-04T12:01:56+00:00,2026-06-04T12:01:57+00:00,python scripts/run_experiment.py --config configs/experiments/dev.yaml --model configs/models/small.yaml --methods raw random_same_keep_rate length_filter dedup_only HDQS++ HDQS++v2 --seeds 1 2 3,configs/experiments/dev.yaml,5277a66db89c83cee8d79aaaf737955d36a02c2e78649b84a29858ffbf7ea11c,wikitext2_paper,real_local_nonfallback,official_split,small,configs/models/small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,hdqspp_v2,2,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2/seed_2/metrics.json,5e58b1cb0393050490b1caa203218020c016f49c9579be2c3b1ee9a2bd475c6d,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2/seed_2/metrics.json,2.6195944272554836,13.73015387950234,0.8505564387917329,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.6939963744236874,2.6195944272554836,13.73015387950234,final_val_perplexity,,,0.8505564387917329
train:wikitext2_paper:small:hdqspp_v2:3:completed_training:2026-06-04T12:05:58+00:00,2026-06-04T12:06:00+00:00,python scripts/run_experiment.py --config configs/experiments/dev.yaml --model configs/models/small.yaml --methods raw random_same_keep_rate length_filter dedup_only HDQS++ HDQS++v2 --seeds 1 2 3,configs/experiments/dev.yaml,5277a66db89c83cee8d79aaaf737955d36a02c2e78649b84a29858ffbf7ea11c,wikitext2_paper,real_local_nonfallback,official_split,small,configs/models/small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,hdqspp_v2,3,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2/seed_3/metrics.json,b473f24087c6733b08101cfdfa9cfb449ab2e9079643c220da76f077fb4fb711,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2/seed_3/metrics.json,2.48999599310068,12.061227792222454,0.8505564387917329,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.5878277925344615,2.48999599310068,12.061227792222454,final_val_perplexity,,,0.8505564387917329
train:wikitext2_paper:small:hdqspp_v2_no_token_frequency:1:completed_training:2026-06-04T13:39:42+00:00,2026-06-04T13:39:43+00:00,python scripts/run_experiment.py --config configs\experiments\dev.yaml --model configs\models\small.yaml --methods hdqspp_v2_no_token_frequency --seeds 1 2 3,configs\experiments\dev.yaml,50091c51176ad7d3f4086fe79905bd004c2ba3ef3326e77515ba475821f89e39,wikitext2_paper,real_local_nonfallback,official_split,small,configs\models\small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,hdqspp_v2_no_token_frequency,1,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2_no_token_frequency/seed_1/metrics.json,354ac3155a9b22bfdea5b2bc8e10e128de795fc70c43ab4118654b62eb87de91,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2_no_token_frequency/seed_1/metrics.json,2.4923734114720273,12.089936489526806,0.8505564387917329,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.5674475523141713,2.4923734114720273,12.089936489526806,final_val_perplexity,,,0.8505564387917329
train:wikitext2_paper:small:hdqspp_v2_no_token_frequency:2:completed_training:2026-06-04T13:40:34+00:00,2026-06-04T13:40:36+00:00,python scripts/run_experiment.py --config configs\experiments\dev.yaml --model configs\models\small.yaml --methods hdqspp_v2_no_token_frequency --seeds 1 2 3,configs\experiments\dev.yaml,50091c51176ad7d3f4086fe79905bd004c2ba3ef3326e77515ba475821f89e39,wikitext2_paper,real_local_nonfallback,official_split,small,configs\models\small.yaml,5ddc8828fcfb6437b29f7b86d37e6bab872edc34e24398ce743c1302bc7a181f,hdqspp_v2_no_token_frequency,2,300,1228800,244780,completed_training,,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2_no_token_frequency/seed_2/metrics.json,e8c62f847199d195c1175d07bee22421ddea4bbb0f0bd0859340b6211862a734,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,artifacts/data/wikitext2_paper/data_manifest.json,artifacts/experiments/dev/wikitext2_paper/small/hdqspp_v2_no_token_frequency/seed_2/metrics.json,2.6909387661860538,14.745512013072414,0.8505564387917329,character_shared,shared_character_vocab_from_wikitext2_train,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,53248,13,16,256,53248,0.047853477483306824,2.784196010002723,2.6909387661860538,14.745512013072414,final_val_perplexity,,,0.8505564387917329
