dataset_id,method_name,n_seeds,mean_valid_loss,std_valid_loss,mean_valid_ppl_clipped,num_ppl_clipped,ppl_comparable,seed_variance,metric_for_comparison
c4_en_20m,exact_dedup,3,27.892710690697033,0.5296957241926407,485165195.4097903,3,False,0.28057756022796604,valid_loss
c4_en_20m,length_filter,3,28.237577160199482,0.4159437811401861,485165195.4097903,3,False,0.17300922906919503,valid_loss
c4_en_20m,raw,3,27.892710690697033,0.5296957241926407,485165195.4097903,3,False,0.28057756022796604,valid_loss
c4_en_20m,urd_fixed,3,27.939046944181126,0.629895233358622,485165195.4097903,3,False,0.3967680050079128,valid_loss
openwebtext_20m,exact_dedup,3,28.03769465784232,0.6176195536424495,485165195.4097903,3,False,0.3814539130414985,valid_loss
openwebtext_20m,length_filter,3,27.921034559607506,0.44332796044119455,485165195.4097903,3,False,0.19653968050894935,valid_loss
openwebtext_20m,raw,3,28.03769465784232,0.6176195536424495,485165195.4097903,3,False,0.3814539130414985,valid_loss
openwebtext_20m,urd_fixed,3,27.701678256193798,0.34402195027971755,485165195.4097903,3,False,0.11835110227426045,valid_loss
