dataset_id,method_name,n_seeds,mean_valid_nll_nats_per_token,std_valid_nll_nats_per_token,ci_low,ci_high,mean_valid_log_ppl,mean_valid_ppl,ppl_overflow_count,metric_for_comparison
c4_en_v2_100m,c4_quality_filter,3,8.809337173899015,0.590474428428179,8.377599032595754,9.644231049343944,8.809337173899015,8085.232756337613,0,valid_nll_nats_per_token
c4_en_v2_100m,exact_dedup,3,8.845222388083736,0.35430654383298854,8.345171183347702,9.122839383780956,8.845222388083736,7347.421631453609,0,valid_nll_nats_per_token
c4_en_v2_100m,length_filter,3,9.087779848525921,0.0054678122107315,9.080966796725988,9.09435373917222,9.087779848525921,8846.655837927823,0,valid_nll_nats_per_token
c4_en_v2_100m,perplexity_proxy_filter,3,8.362475772698721,0.023293889309590123,8.33405832014978,8.391115168109536,8.362475772698721,4284.448367497021,0,valid_nll_nats_per_token
c4_en_v2_100m,random_same_keep_rate,3,8.370527795826396,0.010176082267360078,8.356156393885612,8.378366244956851,8.370527795826396,4318.137477617698,0,valid_nll_nats_per_token
c4_en_v2_100m,raw,3,8.845222388083736,0.35430654383298854,8.345171183347702,9.122839383780956,8.845222388083736,7347.421631453609,0,valid_nll_nats_per_token
c4_en_v2_100m,urd_fixed,3,9.084429393832883,0.03332507192170902,9.06010688841343,9.131549943238497,9.084429393832883,8821.868281978095,0,valid_nll_nats_per_token
openwebtext_v2_100m,c4_quality_filter,3,8.71543855406344,0.5403074783674378,8.3163424115628,9.479291470721364,8.71543855406344,7136.383234807216,0,valid_nll_nats_per_token
openwebtext_v2_100m,exact_dedup,3,8.523603570337096,0.33001987481625733,8.266689712181687,8.989501055330038,8.523603570337096,5331.210770465059,0,valid_nll_nats_per_token
openwebtext_v2_100m,length_filter,3,8.552820205067595,0.3216839949036935,8.317885557189584,9.007667392492294,8.552820205067595,5473.47759775172,0,valid_nll_nats_per_token
openwebtext_v2_100m,perplexity_proxy_filter,3,8.742184306805333,0.5572643710620007,8.324163120239973,9.529778588563204,8.742184306805333,7404.249691664264,0,valid_nll_nats_per_token
openwebtext_v2_100m,random_same_keep_rate,3,9.574085031325618,0.02875902384731977,9.542370561510324,9.61199371702969,9.574085031325618,14393.036181563464,0,valid_nll_nats_per_token
openwebtext_v2_100m,raw,3,8.523603570337096,0.33001987481625733,8.266689712181687,8.989501055330038,8.523603570337096,5331.210770465059,0,valid_nll_nats_per_token
openwebtext_v2_100m,urd_fixed,3,8.290193481991688,0.025382243676308223,8.265030732378364,8.324944982305169,8.290193481991688,3985.8942988963713,0,valid_nll_nats_per_token
