variant,seeds,train_characters,val_loss_mean,val_loss_std,perplexity_mean,perplexity_std,bits_per_character_mean,next_char_accuracy_mean,tokens_per_second_mean
full_pipeline,23,18000,12.296938419342041,0.0,219024.4002682036,0.0,17.740732075701732,0.029296875,12073.98380792688
hdqs_filter,23,18000,12.331533908843994,0.0,226734.25068847716,0.0,17.790642816843324,0.029296875,11667.587692055842
raw_noisy_baseline,23,18000,12.328615188598633,0.0,226073.44166812417,0.0,17.7864319936196,0.029296875,7811.510688238568
rule_filter_only,23,18000,12.415561199188232,0.0,246609.45222989333,0.0,17.911868571922295,0.029296875,12099.663891519709
