document_index,score,lexical_diversity,char_entropy,token_entropy,repetition_penalty,ngram_repetition_penalty,pii_density_penalty,url_html_noise_penalty,non_linguistic_symbol_penalty,length_prior,language_consistency,optional_lm_surprisal,duplicate_cluster_penalty
0,0.8141949328409814,0.8088235294117647,0.9063694890278754,0.7066869452218679,0.9701492537313433,1.0,1.0,0.0,0.7373737373737373,1.0,1.0,1.0,1.0
1,0.7700126838077812,0.7415730337078652,0.939760501802275,0.7246850384542263,1.0,1.0,0.625,0.0,0.7350427350427351,1.0,1.0,1.0,1.0
2,0.8898843488308673,0.8356164383561644,0.9901050242511813,0.7210655912604071,1.0,1.0,1.0,0.65,0.6682926829268292,1.0,1.0,1.0,1.0
3,0.828047676331964,0.8611111111111112,0.9487541733215477,0.7338972657977769,1.0,1.0,1.0,0.0,0.7178841309823678,1.0,1.0,1.0,1.0
4,0.604248271631904,0.1,0.7215111961569972,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9041669096556046,0.7142857142857143,0.9220371974634644,0.6848929217532512,0.9420289855072463,0.9852941176470589,1.0,1.0,0.7666666666666666,1.0,1.0,1.0,1.0
6,0.604248271631904,0.1,0.7215111961569972,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.8117111031618186,0.8142857142857143,0.9609281293960082,0.7134643503246798,0.9710144927536232,1.0,1.0,0.0,0.6464646464646464,1.0,1.0,1.0,1.0
8,0.8952928232990026,0.8666666666666667,0.9774879770320858,0.7440108571417127,0.9864864864864865,1.0,1.0,0.65,0.7104072398190044,1.0,0.9880952380952381,1.0,1.0
9,0.9444325152109664,0.9242424242424242,0.921325077484781,0.7351801598020729,1.0,1.0,1.0,1.0,0.8217270194986073,1.0,1.0,1.0,1.0
10,0.8021382600202979,0.8,0.9863085022008509,0.7213281230176513,0.9864864864864865,1.0,1.0,0.0,0.5151515151515151,1.0,1.0,1.0,1.0
11,0.8864995509479477,0.8648648648648649,0.9701767740772287,0.7377443607337482,1.0,1.0,0.5714285714285714,1.0,0.7767441860465116,1.0,1.0,1.0,1.0
12,0.9241935295272156,0.7922077922077922,0.929524794458404,0.7244771122191834,1.0,1.0,1.0,1.0,0.7653061224489796,1.0,0.9863945578231292,1.0,1.0
13,0.9226692425288006,0.782608695652174,0.9752648657042291,0.7014918931362377,1.0,1.0,1.0,1.0,0.7326478149100257,1.0,0.9863481228668942,1.0,1.0
14,0.8927277237078329,0.8289473684210527,0.9813604076388878,0.7336967163150477,1.0,1.0,1.0,0.65,0.7097505668934241,1.0,0.9881656804733728,1.0,1.0
15,0.8268415529182104,0.8441558441558441,0.9507360588705845,0.7431618119015324,1.0,1.0,1.0,0.0,0.7136258660508084,1.0,1.0,1.0,1.0
16,0.916575355318162,0.7903225806451613,0.8977199299872509,0.6863009752859329,0.9836065573770492,1.0,1.0,1.0,0.7666666666666666,1.0,1.0,1.0,1.0
17,0.8082837874964567,0.7945205479452054,0.9496067061724812,0.7171877445027182,0.9861111111111112,1.0,1.0,0.0,0.6213592233009708,1.0,1.0,1.0,1.0
