variant,retention_ratio,retained_documents,mean_hdqs,pii_like_hits,perplexity_mean,status
raw_noisy_baseline,1.0,93,0.8334314550043062,39,394545.7639490097,trained
clean_only,0.9373554303752687,93,0.8691762508254504,39,,data_only
pii_redact_only,0.9909108226521893,93,0.8313706361572665,0,,data_only
exact_dedup_only,0.797752197458296,72,0.8555469597165857,33,,data_only
near_dedup_only,0.6830489563773914,62,0.8647942156949819,27,,data_only
jaccard_near_dedup_only,0.6830489563773914,62,0.8647942156949819,27,,data_only
rule_filter_only,0.9093531444743789,80,0.8702598956828416,39,422854.3036152836,trained
rule_quality_filter,0.9093531444743789,80,0.8702598956828416,39,,data_only
perplexity_filter_proxy,0.5623316189076659,52,0.9069926374778416,21,,data_only
proxy_perplexity_filter,0.5623316189076659,52,0.9069926374778416,21,,data_only
hdqs_filter,0.8048276049745557,73,0.8802456992815094,24,415821.0239421671,trained
hdqs_curriculum,0.8048276049745557,73,0.8802456992815094,24,,data_only
full_pipeline_without_clean,0.6208125833401366,57,0.8748786311286871,0,,data_only
full_pipeline_without_redact,0.6278063515389012,60,0.9131317417301255,27,,data_only
full_pipeline_without_exact_dedup,0.5848640705363704,57,0.9097148834162351,0,,data_only
full_pipeline_without_near_dedup,0.657223718943043,64,0.9090274825018975,0,,data_only
full_without_hdqs,0.6214929109859308,60,0.9037563212922757,0,,data_only
full_pipeline,0.5848640705363704,57,0.9097148834162351,0,397225.38577898784,trained
minhash_lsh_near_dedup_only,0.6830489563773914,62,0.8647942156949819,27,,data_only
random_retention_matched_baseline,0.6243502870982666,57,0.8302623154279124,33,,data_only
length_matched_baseline,0.6825863335782513,57,0.8479223770042881,39,,data_only
quality_retention_matched_baseline,0.619587993577707,57,0.9000783170125188,24,,data_only
