variant,seed,step,train_loss,train_next_char_accuracy,val_loss,val_next_char_accuracy
raw_noisy_baseline,23,0,16.222877979278564,0.015625,15.916324138641357,0.0234375
raw_noisy_baseline,23,4,14.84880018234253,0.01953125,14.344417572021484,0.033203125
raw_noisy_baseline,23,8,12.683043956756592,0.05859375,13.273601531982422,0.02734375
raw_noisy_baseline,23,10,12.526936054229736,0.01953125,12.530055046081543,0.013671875
raw_noisy_baseline,42,0,15.754294872283936,0.03515625,15.503535270690918,0.029296875
raw_noisy_baseline,42,4,14.537208557128906,0.025390625,14.953693866729736,0.025390625
raw_noisy_baseline,42,8,12.527417182922363,0.021484375,12.986672401428223,0.009765625
raw_noisy_baseline,42,10,11.981829166412354,0.03515625,12.227065563201904,0.0234375
raw_noisy_baseline,3407,0,17.369532585144043,0.033203125,17.460946083068848,0.01953125
raw_noisy_baseline,3407,4,16.178278923034668,0.021484375,15.569482326507568,0.02734375
raw_noisy_baseline,3407,8,14.051969051361084,0.02734375,14.166158199310303,0.029296875
raw_noisy_baseline,3407,10,12.382816314697266,0.03125,12.906848430633545,0.033203125
hdqs_filter,23,0,15.787452697753906,0.033203125,15.916324138641357,0.0234375
hdqs_filter,23,4,14.794714450836182,0.017578125,14.346169471740723,0.03515625
hdqs_filter,23,8,13.32684326171875,0.02734375,13.311463832855225,0.025390625
hdqs_filter,23,10,12.186850547790527,0.02734375,12.5697660446167,0.015625
hdqs_filter,42,0,16.124946117401123,0.029296875,15.503535270690918,0.029296875
hdqs_filter,42,4,14.154319763183594,0.03125,14.934908390045166,0.0234375
hdqs_filter,42,8,12.665130138397217,0.01953125,12.950031280517578,0.009765625
hdqs_filter,42,10,11.93491268157959,0.03515625,12.192395687103271,0.03125
hdqs_filter,3407,0,17.639699935913086,0.0234375,17.460946083068848,0.01953125
hdqs_filter,3407,4,16.179543495178223,0.01953125,15.523754119873047,0.02734375
hdqs_filter,3407,8,13.91864538192749,0.01953125,14.088502407073975,0.03125
hdqs_filter,3407,10,12.600103855133057,0.02734375,12.856783866882324,0.033203125
hdqs_curriculum,23,0,15.787452697753906,0.033203125,15.916324138641357,0.0234375
hdqs_curriculum,23,4,14.794714450836182,0.017578125,14.346169471740723,0.03515625
hdqs_curriculum,23,8,13.32684326171875,0.02734375,13.311463832855225,0.025390625
hdqs_curriculum,23,10,12.186850547790527,0.02734375,12.5697660446167,0.015625
hdqs_curriculum,42,0,16.124946117401123,0.029296875,15.503535270690918,0.029296875
hdqs_curriculum,42,4,14.154319763183594,0.03125,14.934908390045166,0.0234375
hdqs_curriculum,42,8,12.665130138397217,0.01953125,12.950031280517578,0.009765625
hdqs_curriculum,42,10,11.93491268157959,0.03515625,12.192395687103271,0.03125
hdqs_curriculum,3407,0,17.639699935913086,0.0234375,17.460946083068848,0.01953125
hdqs_curriculum,3407,4,16.179543495178223,0.01953125,15.523754119873047,0.02734375
hdqs_curriculum,3407,8,13.91864538192749,0.01953125,14.088502407073975,0.03125
hdqs_curriculum,3407,10,12.600103855133057,0.02734375,12.856783866882324,0.033203125
full_pipeline_without_hdqs,23,0,16.213335037231445,0.013671875,15.916324138641357,0.0234375
full_pipeline_without_hdqs,23,4,14.342998504638672,0.03515625,14.319437026977539,0.03125
full_pipeline_without_hdqs,23,8,13.437424182891846,0.021484375,13.22239065170288,0.0234375
full_pipeline_without_hdqs,23,10,12.919589042663574,0.017578125,12.471499919891357,0.0234375
full_pipeline_without_hdqs,42,0,15.770794868469238,0.01953125,15.503535270690918,0.029296875
full_pipeline_without_hdqs,42,4,14.308875560760498,0.013671875,14.913569927215576,0.021484375
full_pipeline_without_hdqs,42,8,12.062188148498535,0.029296875,12.849809646606445,0.0078125
full_pipeline_without_hdqs,42,10,12.122791767120361,0.021484375,12.092250347137451,0.025390625
full_pipeline_without_hdqs,3407,0,17.812556266784668,0.025390625,17.460946083068848,0.01953125
full_pipeline_without_hdqs,3407,4,16.316136360168457,0.02734375,15.53833532333374,0.02734375
full_pipeline_without_hdqs,3407,8,13.622440814971924,0.01953125,14.116367816925049,0.029296875
full_pipeline_without_hdqs,3407,10,12.617869853973389,0.0234375,12.86699914932251,0.033203125
full_pipeline,23,0,16.21588706970215,0.01171875,15.916324138641357,0.0234375
full_pipeline,23,4,14.61829662322998,0.01953125,14.335089683532715,0.03125
full_pipeline,23,8,13.408185958862305,0.017578125,13.234293937683105,0.02734375
full_pipeline,23,10,12.657569408416748,0.013671875,12.484399795532227,0.0234375
full_pipeline,42,0,15.585489273071289,0.0234375,15.503535270690918,0.029296875
full_pipeline,42,4,14.453698635101318,0.005859375,14.918049335479736,0.0234375
full_pipeline,42,8,12.620485305786133,0.013671875,12.87617540359497,0.0078125
full_pipeline,42,10,11.993698120117188,0.0234375,12.102473258972168,0.025390625
full_pipeline,3407,0,17.99681282043457,0.015625,17.460946083068848,0.01953125
full_pipeline,3407,4,16.11603879928589,0.021484375,15.545625686645508,0.02734375
full_pipeline,3407,8,13.764997482299805,0.0234375,14.150812149047852,0.03125
full_pipeline,3407,10,12.548180103302002,0.029296875,12.945134162902832,0.033203125
