dataset,dataset_status,dataset_scope,method,seed,run_status,train_tokens,evaluated_validation_tokens,tokenizer_hash,vocab_size,parameter_count,mean_ppl,final_validation_loss,keep_rate,distribution_shift_metric,source_run_id,artifact_hash,safe_interpretation
c4_en_streaming,real_nonfallback,streaming_sample,raw,2,completed_training,40960,2048,e3018aee4f8d2f790695245bde2e94c970f1d8985125b5d248017c401e793fba,191,10770048,159.87763951144112,5.074408769607544,1.0,0.000000,train:c4_en_streaming:small:raw:2:completed_training:2026-06-04T21:02:46+00:00,81e4fea9d1e3b4f2bac2279f160fd42c24baadfef8b13b89ff0ed79bd340c164,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
c4_en_streaming,real_nonfallback,streaming_sample,raw,3,completed_training,40960,2048,e3018aee4f8d2f790695245bde2e94c970f1d8985125b5d248017c401e793fba,191,10770048,135.96323387593262,4.912384510040283,1.0,0.000000,train:c4_en_streaming:small:raw:3:completed_training:2026-06-04T21:02:52+00:00,a68d43a502fa74e47d59e843f4c6c176b88f0b9b4d97fd8e8b3eef250b1bd222,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,dedup_only,1,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,245.90505756685639,5.504945516586304,1.0,0.000000,train:openwebtext_streaming:small:dedup_only:1:completed_training:2026-06-04T21:02:10+00:00,783796ca0c03699ff3be6f547969d5d5eab505a53234f1582660c1863dafa62d,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,dedup_only,2,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,77.00285556368391,4.343842506408691,1.0,0.000000,train:openwebtext_streaming:small:dedup_only:2:completed_training:2026-06-04T21:02:16+00:00,8b0a778792cb0d9c7b6138972b38233c68c72b866dcf9d5e7327ebb8069c6b19,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,dedup_only,3,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,77.71548451825461,4.353054523468018,1.0,0.000000,train:openwebtext_streaming:small:dedup_only:3:completed_training:2026-06-04T21:02:21+00:00,7f7e83fb0aa5082fe5e223e76192eea22ac4c5cd85ab47d2411159cd0019b2b5,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,hdqspp_v3,1,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,438.24326787044856,6.0827741622924805,0.8602150537634409,0.139785,train:openwebtext_streaming:small:hdqspp_v3:1:completed_training:2026-06-04T21:02:12+00:00,04232fa4ff9d85c1ee00801090d816642ce0d2747ea6fc99fcbaa11e9dc47e91,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,hdqspp_v3,2,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,156.36856464492521,5.052215814590454,0.8602150537634409,0.139785,train:openwebtext_streaming:small:hdqspp_v3:2:completed_training:2026-06-04T21:02:17+00:00,869b9a8f69ecd3f9dd35009d1373928165b7ecd72ebd2cd67fbf520d86c5bf90,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,hdqspp_v3,3,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,165.53909520745566,5.109207391738892,0.8602150537634409,0.139785,train:openwebtext_streaming:small:hdqspp_v3:3:completed_training:2026-06-04T21:02:23+00:00,30076b237cf6a983642a0e7e2186223c96dea68e0dead88aa910b19b51744f36,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,random_same_keep_rate,1,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,460.26693378421487,6.1318066120147705,0.6021505376344086,0.397849,train:openwebtext_streaming:small:random_same_keep_rate:1:completed_training:2026-06-04T21:02:09+00:00,8f8d2dafa0b6f1bdd61610157b8139c7a95fbeb3042f192c9d2e93d5d6ea1738,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,random_same_keep_rate,2,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,118.11355587437134,4.771646499633789,0.6021505376344086,0.397849,train:openwebtext_streaming:small:random_same_keep_rate:2:completed_training:2026-06-04T21:02:14+00:00,4988354a80f585af9c8a4b47437788c91c3fa6a3a460baa8c7f79136ba3211f1,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
