dataset_id,comparison,seed,raw_valid_loss,method_valid_loss,paired_loss_improvement,metric_for_comparison
c4_en_20m,exact_dedup_vs_raw,13,28.322829470038414,28.322829470038414,0.0,valid_loss
c4_en_20m,exact_dedup_vs_raw,42,27.14650657773018,27.14650657773018,0.0,valid_loss
c4_en_20m,exact_dedup_vs_raw,101,28.20879602432251,28.20879602432251,0.0,valid_loss
c4_en_20m,length_filter_vs_raw,13,28.322829470038414,28.48379498720169,-0.16096551716327667,valid_loss
c4_en_20m,length_filter_vs_raw,42,27.14650657773018,27.651816725730896,-0.5053101480007172,valid_loss
c4_en_20m,length_filter_vs_raw,101,28.20879602432251,28.577119767665863,-0.36832374334335327,valid_loss
c4_en_20m,urd_fixed_vs_raw,13,28.322829470038414,28.608991548419,-0.2861620783805847,valid_loss
c4_en_20m,urd_fixed_vs_raw,42,27.14650657773018,27.095613554120064,0.05089302361011505,valid_loss
c4_en_20m,urd_fixed_vs_raw,101,28.20879602432251,28.11253573000431,0.09626029431819916,valid_loss
openwebtext_20m,exact_dedup_vs_raw,13,28.755306407809258,28.755306407809258,0.0,valid_loss
openwebtext_20m,exact_dedup_vs_raw,42,27.247662737965584,27.247662737965584,0.0,valid_loss
openwebtext_20m,exact_dedup_vs_raw,101,28.110114827752113,28.110114827752113,0.0,valid_loss
openwebtext_20m,length_filter_vs_raw,13,28.755306407809258,28.447844117879868,0.30746228992938995,valid_loss
openwebtext_20m,length_filter_vs_raw,42,27.247662737965584,27.952016070485115,-0.7043533325195312,valid_loss
openwebtext_20m,length_filter_vs_raw,101,28.110114827752113,27.363243490457535,0.7468713372945786,valid_loss
openwebtext_20m,urd_fixed_vs_raw,13,28.755306407809258,28.157624900341034,0.5976815074682236,valid_loss
openwebtext_20m,urd_fixed_vs_raw,42,27.247662737965584,27.326697632670403,-0.07903489470481873,valid_loss
openwebtext_20m,urd_fixed_vs_raw,101,28.110114827752113,27.620712235569954,0.4894025921821594,valid_loss
