dataset_id,method_name,n_seeds,mean_valid_loss,mean_valid_ppl_clipped,risk,diversity,cost,metric_for_comparison
c4_en_20m,exact_dedup,3,27.892710690697033,485165195.4097903,0.004086410054988217,0.6485306178343995,38190,valid_loss
c4_en_20m,length_filter,3,28.237577160199482,485165195.4097903,0.003561831153388823,0.6353863430405915,38190,valid_loss
c4_en_20m,raw,3,27.892710690697033,485165195.4097903,0.004086410054988217,0.6485306178343995,38190,valid_loss
c4_en_20m,urd_fixed,3,27.939046944181126,485165195.4097903,0.003948095778417853,0.629846420865883,38190,valid_loss
openwebtext_20m,exact_dedup,3,28.03769465784232,485165195.4097903,0.014164010250640666,0.5544323346814154,15999,valid_loss
openwebtext_20m,length_filter,3,27.921034559607506,485165195.4097903,0.009740022484541878,0.5741182485788605,15999,valid_loss
openwebtext_20m,raw,3,28.03769465784232,485165195.4097903,0.014164010250640666,0.5544323346814154,15999,valid_loss
openwebtext_20m,urd_fixed,3,27.701678256193798,485165195.4097903,0.011038266546287936,0.5444960951896028,15999,valid_loss
