variant,seed,step,train_loss,train_next_char_accuracy,val_loss,val_next_char_accuracy
raw_noisy_baseline,23,0,15.094681739807129,0.0234375,14.325082778930664,0.0234375
raw_noisy_baseline,23,3,14.685101509094238,0.015625,14.536861419677734,0.0390625
raw_noisy_baseline,23,6,12.874244689941406,0.0078125,13.738080024719238,0.0078125
rule_filter_only,23,0,14.519935607910156,0.0234375,14.325082778930664,0.0234375
rule_filter_only,23,3,13.979655265808105,0.015625,14.559403419494629,0.0390625
rule_filter_only,23,6,12.993102073669434,0.03125,13.668835639953613,0.0078125
hdqs_filter,23,0,16.380041122436523,0.015625,14.325082778930664,0.0234375
hdqs_filter,23,3,14.664199829101562,0.015625,14.536092758178711,0.0390625
hdqs_filter,23,6,13.607190132141113,0.0234375,13.65878677368164,0.0078125
full_pipeline,23,0,16.013626098632812,0.0078125,14.325082778930664,0.0234375
full_pipeline,23,3,15.680630683898926,0.015625,14.517597198486328,0.0390625
full_pipeline,23,6,13.489946365356445,0.015625,13.708828926086426,0.0078125
