dataset_id,comparison,seed,raw_valid_loss,method_valid_loss,paired_loss_improvement
c4_en_20m,exact_dedup_vs_raw,13,151.12794494628906,151.12794494628906,0.0
c4_en_20m,exact_dedup_vs_raw,42,142.7844009399414,142.7844009399414,0.0
c4_en_20m,exact_dedup_vs_raw,101,143.75220489501953,143.75220489501953,0.0
c4_en_20m,length_filter_vs_raw,13,151.12794494628906,152.69827270507812,-1.5703277587890625
c4_en_20m,length_filter_vs_raw,42,142.7844009399414,142.59290313720703,0.191497802734375
c4_en_20m,length_filter_vs_raw,101,143.75220489501953,142.47550201416016,1.276702880859375
c4_en_20m,urd_fixed_vs_raw,13,151.12794494628906,152.69827270507812,-1.5703277587890625
c4_en_20m,urd_fixed_vs_raw,42,142.7844009399414,144.03680419921875,-1.2524032592773438
c4_en_20m,urd_fixed_vs_raw,101,143.75220489501953,144.59556579589844,-0.8433609008789062
openwebtext_20m,exact_dedup_vs_raw,13,146.23676300048828,146.23676300048828,0.0
openwebtext_20m,exact_dedup_vs_raw,42,144.32579803466797,144.32579803466797,0.0
openwebtext_20m,exact_dedup_vs_raw,101,149.16464233398438,149.16464233398438,0.0
openwebtext_20m,length_filter_vs_raw,13,146.23676300048828,150.4198226928711,-4.1830596923828125
openwebtext_20m,length_filter_vs_raw,42,144.32579803466797,146.24440002441406,-1.9186019897460938
openwebtext_20m,length_filter_vs_raw,101,149.16464233398438,147.0206527709961,2.1439895629882812
openwebtext_20m,urd_fixed_vs_raw,13,146.23676300048828,146.23676300048828,0.0
openwebtext_20m,urd_fixed_vs_raw,42,144.32579803466797,144.32579803466797,0.0
openwebtext_20m,urd_fixed_vs_raw,101,149.16464233398438,149.16464233398438,0.0
